content,created_at,like_num,location,emotion
[微笑][汗][汗],2023-06-05,0,来自广西,中性
唉，时代在进步，分数在暴涨[泪],2023-06-05,0,来自山东,消极
.,2023-06-05,0,来自宁夏,中性
为什么以前是理科分数线高，现在文科分数线高。是时代不一样了？,2023-06-05,0,来自江苏,中性
这一年我刚出生[可爱][可爱],2023-06-05,0,来自重庆,中性
现在都是文科分数线比理科高,2023-06-05,0,来自云南,中性
99年，我还上小学了,2023-06-05,0,来自河南,中性
这年我刚刚上大二[允悲],2023-06-05,0,来自上海,中性
6,2023-06-05,0,来自广东,中性
居然有汕头大学，这大学历史悠久啊[嘻嘻],2023-06-05,0,来自广东,中性
，,2023-06-04,0,来自辽宁,中性
这分现在在河北连专科都考不上[doge],2023-06-04,0,来自广东,消极
扩招的第一年……,2023-06-04,0,来自北京,中性
02级的路过，当年526也没上到好大学,2023-06-04,0,来自江苏,消极
青岛海洋大学到底是啥,2023-06-04,0,来自江苏,中性
546估计是重点大学的起点线。哈工大分数真低[允悲],2023-06-04,0,来自安徽,消极
学校现在叫，江苏大学,2023-06-04,0,来自江苏,中性
那时候考上大学的真的都是佼佼者呀,2023-06-04,0,来自广西,中性
清华那年那么低？,2023-06-04,0,来自上海,中性
那年江苏本科分数线多少？,2023-06-04,0,来自上海,中性
曾几何时，北大也是压着清华的,2023-06-04,0,来自广东,中性
[羞嗒嗒][思考],2023-06-04,0,来自江苏,中性
10年上大学南航也排第三，现在已经不知道去哪了……[怒],2023-06-04,0,来自江苏,中性
那时候分数低,2023-06-04,0,来自安徽,中性
不要惊讶，那时候题是很难的，考600 都很难的,2023-06-04,0,来自天津,消极
查查八十年代的成绩，吓死人，百里挑一,2023-06-04,0,来自陕西,消极
山东，我92年高考539分上了专科,2023-06-04,0,来自山东,中性
我们华科前身这么拽的吗？,2023-06-04,0,来自福建,中性
看到了石家庄铁道学院[开学季],2023-06-04,0,来自河北,中性
我598,2023-06-04,0,来自北京,中性
[good],2023-06-04,0,来自陕西,积极
500多，那会的总分多少？,2023-06-04,0,来自北京,中性
yzu祖上荣光,2023-06-04,0,来自江苏,中性
当年北体这么支棱吗[傻眼][吃惊],2023-06-04,0,来自湖北,中性
那个时候居然是立刻投档线高过文科，后面都是文科投档线比理科高[允悲][允悲][允悲][允悲],2023-06-04,0,来自江苏,中性
[doge],2023-06-04,0,来自浙江,中性
99 年是大学扩招的最后一年。,2023-06-04,0,来自湖北,中性
640分的我,2023-06-04,0,来自浙江,中性
00年的浙江，也是我的痛,2023-06-04,0,来自浙江,中性
河南高考真难啊，看看这分数线[doge],2023-06-04,0,来自陕西,消极
加油,2023-06-04,0,来自河南,积极
[微风],2023-06-04,0,来自北京,中性
心好痛，十多年前就差二百多分就能上个好大学了,2023-06-04,0,来自北京,消极
99年考五百多分多难啊,2023-06-04,0,来自天津,消极
666,2023-06-04,0,来自河北,中性
那时候我交录取还在北京第一梯队吧,2023-06-04,0,来自北京,中性
我还没出生[泪],2023-06-04,0,来自内蒙古,中性
[可爱],2023-06-04,0,来自广东,积极
华五啥也不是,2023-06-04,0,来自内蒙古,消极
可悲啊！竟然没有河南。。。。。,2023-06-04,0,来自河南,消极
大河南没有一所高校…,2023-06-04,0,来自福建,中性
也是我那年的,2023-06-04,0,来自江苏,积极
那年数学考的“减薄率”，当时数学考了89分，复读一年，数学考了81分唉😔,2023-06-04,1,来自广东,中性
那个时候江财和ncu分这么高吗[允悲],2023-06-04,0,来自江西,中性
有没有2000年的？,2023-06-04,0,来自江苏,中性
上医是所有学校里最高的[笑cry],2023-06-04,0,来自上海,中性
哎，那年学费还TM翻番了呢，麻蛋的,2023-06-04,0,来自辽宁,消极
所以那个时候很多高分考生去了普通大学，这也是一些普通大学也出了不少牛人的原因！现在很少出现这种情况了！,2023-06-03,0,来自湖北,中性
怎么清华北大的提档线这么低 比一些其他985都低。,2023-06-03,0,来自北京,中性
99年考的石油大学（北京）[泪],2023-06-03,0,来自北京,中性
高招回到以前才对。那才是含金量杠杠的。没现在这么多“高不成低不就”，学历高消费的。,2023-06-03,0,来自浙江,中性
97年的哪里有？[可爱],2023-06-03,0,来自浙江,中性
沈阳药科，沈阳农业，辽宁工程技术[doge],2023-06-03,0,来自辽宁,消极
那一年，我大三[允悲]，唏嘘,2023-06-03,0,来自浙江,中性
我才刚出生，这时候才一岁半,2023-06-03,0,来自湖北,中性
现在基本涨了100分,2023-06-03,0,来自天津,中性
看看当年川大比重大差远了[二哈][二哈][二哈],2023-06-03,0,来自重庆,中性
那时候的大学生个个都是栋梁吧,2023-06-03,0,来自湖北,中性
理科580 西北工业大学[允悲],2023-06-03,0,来自安徽,中性
那时候的上海高校是真的强，如今算是没落了吧,2023-06-03,0,来自上海,中性
唐山交大理科分这么高[笑cry],2023-06-03,0,来自河北,中性
我就是那一届的，原来你还很年轻啊,2023-06-03,0,来自山东,中性
我们东南曾经这么辉煌啊[笑cry],2023-06-03,0,来自江苏,中性
我儿子的学校那时候比川大才低几分，现在，大几十分了[允悲],2023-06-03,0,来自四川,中性
那年是江苏最后一届总分750，我就是那第二年的试验田[泪],2023-06-03,0,来自江苏,中性
笑死那也考不上[苦涩],2023-06-03,0,来自吉林,积极
现在的教育究竟是谁在破坏,2023-06-03,0,来自江苏,消极
[笑cry][笑cry][笑cry][笑cry]神奇的是，广东采用标准分。单科满分900分,2023-06-03,0,来自广东,中性
那年我大专门都没摸着，不过那也不影响我后天野性发展,2023-06-03,0,来自浙江,中性
有啥感慨的，我还是考不上[允悲],2023-06-03,0,来自吉林,中性
我们那一批两毛四已经不入眼了。,2023-06-03,0,来自广西,消极
我们学校东北农业大学，分数线高于南开、大连理工、东北大学[喵喵],2023-06-03,0,来自河北,中性
上海大学与清华北大都没太大差距吗？,2023-06-03,0,来自上海,中性
这个应该有收藏价值吧？,2023-06-03,0,来自湖北,中性
我是这批高考人群，北大清华我报了，没去上。[doge],2023-06-03,0,来自广东,中性
图片评论 http://t.cn/A6pq6Epp,2023-06-03,0,来自天津,中性
大连海事的表示：祖上阔过,2023-06-03,0,来自辽宁,中性
我是99年高考的，只是我是安徽的。,2023-06-03,0,来自安徽,中性
那会儿我才上小学,2023-06-03,0,来自湖北,中性
来的正好,2023-06-03,0,来自内蒙古,积极
[允悲]没想到啊，当年我硕士母校比本科母校高几十分，现在已经两极反转了,2023-06-03,0,来自陕西,消极
噩梦开始,2023-06-03,0,来自辽宁,消极
那时候包分配吗,2023-06-03,0,来自四川,中性
江西财经大学那么高分,2023-06-03,0,来自江西,中性
这年头，文科录取比理科分高太多,2023-06-03,0,来自安徽,中性
1999年 山东是标准分，那年考了559分 上了专科，令我们感到遗憾的是，一直不知道原始分数。,2023-06-03,1,来自天津,中性
那一年我出生[doge],2023-06-03,0,来自北京,中性
99年是扩招开始的第一年？那时候好像是全国统一试卷,2023-06-03,1,来自广东,中性
我就是那年的考生，可惜只考了500分,2023-06-03,0,来自四川,中性
我清楚的记得99高考作文题目，假如记忆可以移植！[咖啡],2023-06-03,1,来自江苏,中性
那会都是估分填志愿吧,2023-06-03,0,来自陕西,中性
我99年604，没有填到好志愿！农村人完全不懂，学校，专业，就业，人生！,2023-06-03,0,来自湖北,中性
居然文科比理科低,2023-06-03,0,来自浙江,中性
[doge],2023-06-03,0,来自湖南,中性
那个时候一批还没有那么多,2023-06-03,0,来自内蒙古,中性
，,2023-06-03,0,来自浙江,中性
当年我们河南也是高考完，先给三天估分报志愿。数学确实比98年高考难，所以第一志愿就不敢选择省外高校了，保守点儿最后选择了郑州大学，这样就做了郑大校友[笑cry]。 对，马上本科毕业要20年聚会啦[允悲],2023-06-03,0,来自北京,中性
教师，医生，律师三个热门专业分数也高,2023-06-03,0,来自北京,中性
为什么以前都是文科比理科低，现在是文科比理科高了,2023-06-03,0,来自湖南,中性
理科分数居然比文科还高,2023-06-03,0,来自安徽,中性
刚出生[doge],2023-06-03,0,来自广西,中性
[哇],2023-06-03,0,来自中国香港,中性
2000年有吗,2023-06-03,0,来自上海,中性
那个时候的东华大学，还叫纺大[哈哈],2023-06-02,0,来自上海,中性
我也99的，但我99出生的[单身狗][单身狗],2023-06-02,0,来自河北,中性
有没有大佬讲一讲，为什么之前文科录取分数线比理科要低啊？,2023-06-02,0,来自江苏,中性
支持你[并不简单],2023-06-02,0,来自山东,积极
我五岁,2023-06-02,0,来自山东,中性
中国政法的理科，何德何能啊[允悲][允悲],2023-06-02,0,来自北京,中性
辽宁工程技术大学也辉煌过,2023-06-02,0,来自辽宁,中性
02年高考的，差不多就是这个分数！,2023-06-02,0,来自江苏,中性
建筑老八校之一，越来越拉了[doge],2023-06-02,0,来自云南,中性
99年高考，99年上的大一,2023-06-02,0,来自辽宁,中性
湘潭大学文科比清华还高[允悲],2023-06-02,0,来自湖南,中性
我也是99年高考,2023-06-02,0,来自浙江,中性
武汉大学 529,2023-06-02,0,来自北京,中性
哈哈哈哈哈哈看到中传啦[春游家族],2023-06-02,0,来自北京,中性
从来不会估分的我，让我处于那个时代，估计我能捡漏[doge],2023-06-02,0,来自陕西,中性
同99年高考，看到了我们学校[太开心][太开心][太开心],2023-06-02,0,来自福建,积极
那一年财大和政法还没合并,2023-06-02,0,来自湖北,中性
1999,2023-06-02,0,来自北京,中性
555我人什么时候重回巅峰,2023-06-02,0,来自北京,消极
别说99年09年的拿出来都吊打现在战五渣成绩,2023-06-02,0,来自黑龙江,中性
95年参加高考[笑cry],2023-06-02,0,来自江苏,中性
向高考大省致敬[允悲],2023-06-02,0,来自四川,积极
华中科技大学当时的分数线真高啊,2023-06-02,0,来自江苏,中性
现在学生真的很辛苦，中考要考语数外史地生体育（算要算到中考成绩里），每天都是满负荷，在学校，在做题，在背书，但考试难得要死，学那么多，费那么多时间，结果考试那么难，为了什么？,2023-06-02,0,来自湖北,消极
放在当年我也是能上中山大学的，现在[允悲][允悲][允悲][允悲]嗐,2023-06-02,0,来自陕西,中性
这一年我正好高考[允悲],2023-06-02,0,来自湖南,中性
我就是这一届的，考了600多[允悲],2023-06-02,0,来自河南,中性
你们可能不明白江苏省不是全国卷，号称高考地狱，一分刷掉几万人[挖鼻][挖鼻],2023-06-02,0,来自江苏,消极
西安建筑科技大学分数这么高,2023-06-02,0,来自陕西,中性
我们那时候就三个专业，计算机，金融，生物+医学[允悲],2023-06-02,0,来自中国澳门,中性
数学，英语都爆了，不知道谁出的题[允悲],2023-06-02,0,来自中国澳门,中性
以前志愿盲头那真是要命哦，不知道分数，先填志愿[二哈][二哈][二哈],2023-06-02,0,来自福建,中性
这不是我们那一年吗[允悲][允悲][允悲],2023-06-02,0,来自中国澳门,消极
我在那个年代大学都考不上[允悲],2023-06-02,0,来自贵州,中性
那会儿还没我母校呢[允悲]但有我母校的前身，99年就是本一了，混成现在这样真是好惨一学校[允悲],2023-06-02,1,来自江苏,消极
那年开始扩招第一年。我是前一年考的大学。,2023-06-02,0,来自北京,中性
我们湘大居然这么高分,2023-06-02,0,来自广东,中性
[微笑],2023-06-02,0,来自江苏,中性
这个分数就是放在现在我也考不上[允悲][允悲],2023-06-02,0,来自山东,中性
01年参加高考。时光啊[允悲],2023-06-02,0,来自浙江,中性
竟然是我高考那年的[笑cry],2023-06-02,0,来自辽宁,中性
我是这一年的陕西考生,2023-06-02,0,来自陕西,中性
石铁要是不拉我也考不上[允悲],2023-06-02,0,来自河北,中性
我就是那一年高考的[笑cry],2023-06-02,0,来自河南,中性
"1996年我考了559分只上了个大专[泪]，还是托了人才上个河南的开封大学。当时我们省去的学生还要交10,000块钱的建校费。",2023-06-02,0,来自海南,中性
没一所河南的,2023-06-02,0,来自广东,中性
南京化工大学是不是现在的南京工业大学,2023-06-02,0,来自江苏,中性
请教张老师，报志愿和职业有关的书名是什么？买给中考完的男孩子看[举手],2023-06-02,0,来自山东,中性
这肯定是假的，好多学校在99年以后才改名的,2023-06-02,0,来自陕西,中性
二外和川大居然差不多[跪了],2023-06-02,0,来自四川,中性
11,2023-06-02,0,来自新疆,中性
居然没有郑州大学,2023-06-02,0,来自北京,消极
能找到河南的分享一下么？！,2023-06-02,0,来自河南,中性
我是那年考大学，612分，上了北中医,2023-06-02,0,来自北京,中性
这时候我还没出生呢,2023-06-02,0,来自吉林,中性
那时候文科录取分数线比理科低，现在相反了[泪],2023-06-02,0,来自湖南,中性
win，南理工比航砖🧱投档线高两分[doge],2023-06-02,0,来自江苏,中性
这不是我那年！,2023-06-02,0,来自北京,中性
以前理科线比文科高，现在...[doge],2023-06-02,0,来自安徽,中性
那时候，我的学校还很能打[泪],2023-06-02,0,来自黑龙江,中性
找找03年黑龙江的报纸,2023-06-02,0,来自北京,中性
为什么现在文科比理科分数线高那么多？？？是学的不一样吗,2023-06-02,0,来自河北,中性
那年清北没上海的高啊！,2023-06-02,0,来自上海,中性
哇 这年我文科考了589分 天津考生,2023-06-02,0,来自天津,中性
🤓心疼一下590+上山医的……扭头就被山大吃了,2023-06-02,0,来自山东,中性
原来我的分数过了北大分数线，也过了我的梦校复旦…不过也还好，去了家里人想我去的学校,2023-06-02,0,来自美国,积极
羡慕,2023-06-02,0,来自河北,积极
那年，我考了377,2023-06-02,0,来自江苏,中性
当年上海大学分那么高？！,2023-06-02,0,来自辽宁,中性
彪子也是90年代大学生啊[彩虹屁],2023-06-02,1,来自江苏,中性
四川高考荒漠，当年我考了510，然后没上本科。。,2023-06-02,0,来自四川,中性
清华[允悲],2023-06-02,0,来自山东,中性
北大584清华565中科大600[doge],2023-06-02,1,来自安徽,中性
东北农大比中国农大分还高[开学季],2023-06-02,0,来自黑龙江,中性
点赞,2023-06-02,0,来自广东,积极
已阅了,2023-06-02,0,来自江苏,中性
湘大比中南还高[doge],2023-06-02,0,来自浙江,中性
原来是同年高考啊，张老师,2023-06-02,0,来自陕西,中性
那时候的学生质量很高,2023-06-02,0,来自黑龙江,中性
[doge],2023-06-02,0,来自浙江,中性
"对比24年前, 现在高考已经卷到极致了@朗言言言言言 ",2023-06-02,0,来自上海,积极
我高中老师当时填了电子科技大学，结果当时电子科技大学当时招收走读，导致他没被录取,2023-06-02,0,来自四川,中性
我还没出生[允悲],2023-06-02,0,来自河南,中性
没读研的话，工作正好20年了！,2023-06-02,0,来自江苏,中性
还记得这年的高考作文题目[doge],2023-06-02,0,来自江苏,中性
那时候的分数线好低啊[裂开],2023-06-02,0,来自山东,消极
99年高考作文题，假如记忆可以移植[doge],2023-06-02,0,来自湖北,中性
whu当年真拉啊,2023-06-02,0,来自湖北,中性
没有上海理工，太惨了[污][doge],2023-06-02,0,来自湖南,消极
99开始扩招，也开始先考后报志愿。我是98。,2023-06-02,0,来自江苏,中性
吉林工业大学，哈尔滨建筑大学我都没听过[笑cry],2023-06-02,0,来自安徽,中性
没有福大,2023-06-01,0,来自四川,消极
93年考的笑而不语,2023-06-01,0,来自上海,中性
就是我那年，保送了,2023-06-01,0,来自北京,中性
放在方面我也是上央财,2023-06-01,0,来自福建,中性
贴吧老哥是你同事吗[doge],2023-06-01,0,来自山东,中性
那时候的大学还挺好上，没卷到七百分,2023-06-01,0,来自河北,中性
[心],2023-06-01,0,来自上海,中性
99年，我出生了[太阳],2023-06-01,0,来自安徽,中性
我99年上的大学，可惜没参加高考。保送了。。。,2023-06-01,0,来自江苏,中性
曾几何时我们和985一个分数线[泪],2023-06-01,0,来自山东,中性
看到母校[泪],2023-06-01,0,来自广东,中性
哇偶，满满的回忆杀,2023-06-01,0,来自四川,积极
第二年我就上了大学[笑cry],2023-06-01,0,来自河北,中性
看看,2023-06-01,0,来自山东,中性
那年我双手插兜…………,2023-06-01,0,来自江苏,中性
徐州医学院的分数居然和清华差不多[允悲][允悲],2023-06-01,0,来自上海,消极
江西财大，可惜了,2023-06-01,0,来自山东,中性
不知道有没有更早的。,2023-06-01,0,来自河北,中性
哈工大547，辽宁工程技术大学548,2023-06-01,0,来自河北,中性
我毕业的那年,2023-06-01,0,来自北京,中性
99年，我参加高考的那年[泪][泪],2023-06-01,0,来自浙江,中性
厉害👍🏻,2023-06-01,0,来自北京,消极
这届的江苏考生，考了532,2023-06-01,0,来自江苏,中性
好,2023-06-01,0,来自上海,积极
还没出生,2023-06-01,0,来自安徽,中性
那时候的文科线还比理科线低呢@是椒娇不是娇娇 [苦涩],2023-06-01,0,来自湖南,中性
几十年了，,2023-06-01,0,来自山东,中性
那个时候还都是理科线要高于文科线[允悲][允悲]  现在反过来了,2023-06-01,0,来自湖北,中性
99年 文科592分的上了个无名大学[二哈][二哈],2023-06-01,0,来自上海,中性
这个年代为啥没有中国青年政治学院[doge],2023-06-01,0,来自北京,消极
[泪],2023-06-01,0,来自湖北,中性
西安医科大学是什么学校？？？,2023-06-01,1,来自陕西,中性
神奇，我就是1999年上的江苏理工大学。后来学校更名为江苏大学。[鼓掌][鼓掌][鼓掌],2023-06-01,0,来自北京,中性
湘潭大学那时候好厉害啊,2023-06-01,0,来自湖南,中性
这是我那年，清华北大遇到小年，投档线最高的好像是606的中国政法，还有上医。,2023-06-01,0,来自江苏,中性
那时的大庆石油学院比肩哈工大呀！,2023-06-01,0,来自天津,中性
@YF-Bai,2023-06-01,0,来自河北,中性
赶上扩招第一年,2023-06-01,0,来自辽宁,中性
我那年,2023-06-01,0,来自辽宁,中性
过去没那么多学科,2023-06-01,0,来自北京,中性
没想到那时候东南文科比南大文科还高。。。,2023-06-01,0,来自江苏,中性
母校辽工大以评论每年降低二十分的速度退步,2023-06-01,0,来自广东,消极
都不是我能考上的大学,2023-06-01,0,来自辽宁,中性
omg白求恩医科大学,2023-06-01,0,来自吉林,中性
比某航空航天大学略高两分[挖鼻],2023-06-01,0,来自江西,中性
我577，山西,2023-06-01,0,来自北京,中性
@荔枝我来辣,2023-06-01,0,来自江苏,中性
那年我考了800分,2023-06-01,0,来自山东,中性
99年那年分数特别低。我98年的，南大比南师高50分左右。99年才高30多分。,2023-06-01,0,来自江苏,中性
@不能不学啊,2023-06-01,0,来自辽宁,中性
文科的？//@陈静宁_自爱:俺是99年高考的，大河北，本科线510，俺却考了509分[泪],2023-06-01,0,来自北京,消极
法大理科606全国第一？复旦也是606,2023-06-01,0,来自江苏,中性
那时候我才4岁半，和我儿子现在的年纪差不了多少，99年大家都已经这么拼了[憧憬],2023-06-01,0,来自安徽,中性
99路过，518分,2023-06-01,0,来自黑龙江,中性
前中国纺织大学研究生报道[打call],2023-06-01,0,来自上海,中性
轻舟已过万重山[苦涩],2023-06-01,0,来自江苏,中性
看看,2023-06-01,0,来自浙江,中性
要是我在当年，那不是国内随便选 不过那年才出生不久,2023-06-01,0,来自湖北,中性
以前都是文科分数线低,2023-06-01,1,来自河北,中性
2000年583分上了哈尔滨理工大学，当时比华中理工分数线高2分，应该也可以上哈工大和哈工程，只是因为只想读计算机专业，所以放弃了第一志愿武汉理工。,2023-06-01,0,来自上海,中性
南京气象学院，曾经这么厉害,2023-06-01,0,来自上海,中性
从第一个看到最后 终于看到我的母校 那个时候还叫西北轻工业学院 原来99年录取线已经要550了,2023-06-01,0,来自四川,中性
这一年我上高中，之后上的河海大学[允悲],2023-06-01,0,来自辽宁,中性
长得略略着急了些些[允悲],2023-06-01,0,来自河北,中性
真不知道有些学校是没落了还是有些学校那时候没那么强[允悲],2023-06-01,0,来自北京,中性
果然南邮叫小清华不是盖的[悲伤],2023-06-01,0,来自重庆,消极
那时候教育资源也差，苦读的天花板就是这样的分数，不像现在都很卷,2023-06-01,0,来自四川,中性
我上一年级了[摊手],2023-06-01,0,来自安徽,中性
我弱弱的说一句，99刚出生,2023-06-01,0,来自青海,中性
那时候东北石油和哈尔滨工业分数差不多[裂开],2023-06-01,0,来自安徽,中性
感慨一下我河海,2023-06-01,0,来自浙江,中性
北京的985也太低了吧，南京那几个大学怎么那么高[二哈][二哈][二哈],2023-06-01,0,来自北京,中性
这是我啊！！,2023-06-01,0,来自四川,中性
那时候河海大学就有常州分校了么！,2023-06-01,0,来自江苏,中性
考卷试题难度比较大的一年,2023-06-01,0,来自重庆,中性
那年我大三，当时没觉得大学难考感觉也没怎么拼。现在孩子高二感觉考个大学要裂开了[裂开],2023-06-01,0,来自山东,消极
唉😔一声叹息，农村没听过啥大学，瞎报的。都是分数没出来填志愿，估分少估了3/40分，一踏忽悠[泪],2023-06-01,0,来自湖北,消极
[允悲]我只知道那时候的数学很难,2023-06-01,0,来自湖南,中性
感慨啥？,2023-06-01,0,来自甘肃,消极
我为啥是99年出生而不是99年高考啊，这些学校我都能上，如果我的省份也是这个分数线的话,2023-06-01,0,来自河北,中性
那时候学校分层没有那么明显是么？,2023-06-01,0,来自河北,中性
02年高考，山东二批本科580+,2023-06-01,0,来自山东,中性
我天，我辽工大分这么高,2023-06-01,0,来自北京,中性
我还记得云大当时的录取线489。西南师范大学499,2023-06-01,0,来自云南,中性
西电压线[允悲][允悲],2023-06-01,0,来自江苏,中性
